"Name","Family","Series","Form Factor","# of CPU Cores","# of Threads","Max. Boost Clock","Base Clock","L2 Cache","L3 Cache","Default TDP","L1 Cache","AMD Configurable TDP (cTDP)","Processor Technology for CPU Cores","Unlocked for Overclocking","CPU Socket","Thermal Solution (PIB)","Recommended Cooler","Thermal Solution (MPK)","Max. Operating Temperature (Tjmax)","Launch Date","*OS Support","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Graphics Model","Graphics Core Count","Graphics Frequency","AMD Ryzen™ AI","Product ID Boxed","Product ID Tray","Product ID MPK","Supported Technologies"
"AMD Ryzen™ Z2 Go","Ryzen","Ryzen Z2","Handheld","4","8","Up to 4.3 GHz","3 GHz","2 MB","8 MB","28W","","15-30W","","","","","","","","","","","","","","AMD Radeon™ Graphics","12","","","","100-000001672","","AMD Radeon™ Super Resolution , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD FreeSync™ Technology , AMD Radeon™ Chill"
"AMD Ryzen™ AI 9 365","Ryzen","Ryzen AI 300 Series","Laptops , Desktops","10","20","Up to 5 GHz","2 GHz","10 MB","24 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 880M","12","2900 MHz","Available","","100-000001530 (FP8)","",""
"AMD Ryzen™ AI 7 350","Ryzen","Ryzen AI 300 Series","Laptops , Desktops","8","16","Up to 5 GHz","2 GHz","8 MB","16 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 860M","8","3000 MHz","Available","","100-000001601","",""
"AMD Ryzen™ AI 5 340","Ryzen","Ryzen AI 300 Series","Laptops , Desktops","6","12","Up to 4.8 GHz","2 GHz","6 MB","16 MB","28W","","15-54W","TSMC 4nm FinFET","","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 840M","4","2900 MHz","Available","","100-000001602","",""
"AMD Ryzen™ 7 PRO 250","Ryzen PRO","Ryzen PRO 200 Series","Laptops , Desktops","8","16","Up to 5.1 GHz","3.3 GHz","8 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 780M","12","2700 MHz","Available","","100-000001725","",""
"AMD Ryzen™ 5 PRO 230","Ryzen PRO","Ryzen PRO 200 Series","Laptops , Desktops","6","12","Up to 4.9 GHz","3.5 GHz","6 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 760M","8","2600 MHz","Available","","100-000001728","",""
"AMD Ryzen™ 5 PRO 220","Ryzen PRO","Ryzen PRO 200 Series","Laptops , Desktops","6","12","Up to 4.9 GHz","3.2 GHz","6 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 740M","4","2800 MHz","Not Available","","100-000001609","",""
"AMD Ryzen™ 3 PRO 210","Ryzen PRO","Ryzen PRO 200 Series","Laptops , Desktops","4","8","Up to 4.7 GHz","3 GHz","4 MB","8 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 740M","4","2500 MHz","Not Available","","100-000001610","",""
"AMD Ryzen™ 9 270","Ryzen","Ryzen 200 Series","Laptops , Desktops","8","16","Up to 5.2 GHz","4 GHz","8 MB","16 MB","45W","","35-54W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 780M","12","2800 MHz","Available","","100-000001836","",""
"AMD Ryzen™ 7 260","Ryzen","Ryzen 200 Series","Laptops , Desktops","8","16","Up to 5.1 GHz","3.8 GHz","8 MB","16 MB","45W","","35-54W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 780M","12","2700 MHz","Available","","100-000001724","",""
"AMD Ryzen™ 7 250","Ryzen","Ryzen 200 Series","Laptops , Desktops","8","16","Up to 5.1 GHz","3.3 GHz","8 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 780M","12","2700 MHz","Available","","100-000001722","",""
"AMD Ryzen™ 5 240","Ryzen","Ryzen 200 Series","Laptops , Desktops","6","12","Up to 5 GHz","4.3 GHz","6 MB","16 MB","45W","","35-54W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 760M","8","2600 MHz","Available","","100-000001727","",""
"AMD Ryzen™ 5 230","Ryzen","Ryzen 200 Series","Laptops , Desktops","6","12","Up to 4.9 GHz","3.5 GHz","6 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 760M","8","2600 MHz","Available","","100-000001726","",""
"AMD Ryzen™ 5 220","Ryzen","Ryzen 200 Series","Laptops , Desktops","6","12","Up to 4.9 GHz","3.2 GHz","6 MB","16 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 740M","4","2800 MHz","Not Available","","100-000001611","",""
"AMD Ryzen™ 3 210","Ryzen","Ryzen 200 Series","Laptops , Desktops","4","8","Up to 4.7 GHz","3 GHz","4 MB","8 MB","28W","","15-30W","TSMC 4nm FinFET","No","FP8","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 4.0","DDR5 (FP8) , LPDDR5X (FP8)","2","","AMD Radeon™ 740M","4","2500 MHz","Not Available","","100-000001612","",""
"AMD Ryzen™ 9 9955HX3D","Ryzen","Ryzen 9000 Series","Laptops , Desktops","16","32","Up to 5.4 GHz","2.5 GHz","16 MB","128 MB","55W","1280 KB","55-75W","TSMC 4nm FinFET","Yes","FL1","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ 610M","2","2200 MHz","","","100-000001030","",""
"AMD Ryzen™ 9 9950X3D","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","16","32","Up to 5.7 GHz","4.3 GHz","16 MB","128 MB","170W","1280 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Liquid cooler recommended for optimal performance","","95°C","03/12/2025","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100000719WOF","100-000000719","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 9 9955HX","Ryzen","Ryzen 9000 Series","Laptops , Desktops","16","32","Up to 5.4 GHz","2.5 GHz","16 MB","64 MB","55W","1280 KB","55-75W","TSMC 4nm FinFET","Yes","FL1","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ 610M","2","2200 MHz","","","100-000001028","",""
"AMD Ryzen™ 9 9950X","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","16","32","Up to 5.7 GHz","4.3 GHz","16 MB","64 MB","170W","1280 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Liquid cooler recommended for optimal performance","","95°C","08/15/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100001277WOF","100-000001277","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 9 9900X3D","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","12","24","Up to 5.5 GHz","4.4 GHz","12 MB","128 MB","120W","960 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Liquid cooler recommended for optimal performance","","95°C","03/12/2025","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100001368WOF","100-000001368","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 9 9900X","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","12","24","Up to 5.6 GHz","4.4 GHz","12 MB","64 MB","120W","960 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Liquid cooler recommended for optimal performance","","95°C","08/15/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100000662WOF","100-000000662","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 9 9850HX","Ryzen","Ryzen 9000 Series","Laptops , Desktops","12","24","Up to 5.2 GHz","3 GHz","12 MB","64 MB","55W","960 KB","45-75W","TSMC 4nm FinFET","Yes","FL1","","","","100°C","","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ 610M","2","2200 MHz","","","100-000001366","",""
"AMD Ryzen™ 7 9800X3D","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","8","16","Up to 5.2 GHz","4.7 GHz","8 MB","96 MB","120W","640 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Liquid cooler recommended for optimal performance","","95°C","11/07/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100001084WOF","100-000001084","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 7 9700X","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","8","16","Up to 5.5 GHz","3.8 GHz","8 MB","32 MB","65W","640 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Premium air cooler recommended for optimal performance","","95°C","08/08/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100001404WOF","100-000001404","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 5 9600X","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","6","12","Up to 5.4 GHz","3.9 GHz","6 MB","32 MB","65W","480 KB","","TSMC 4nm FinFET","Yes","AM5","Not Included","Premium air cooler recommended for optimal performance","","95°C","08/08/2024","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100001405WOF","100-000001405","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
"AMD Ryzen™ 5 9600","Ryzen","Ryzen 9000 Series","Desktops , Boxed Processor","6","12","Up to 5.2 GHz","3.8 GHz","6 MB","32 MB","65W","480 KB","","TSMC 4nm FinFET","Yes","AM5","AMD Wraith Stealth","","","95°C","02/19/2025","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","PCIe® 5.0","DDR5","2","","AMD Radeon™ Graphics","2","2200 MHz","","100-100000718BOX","100-000000718","","AMD EXPO™ Technology , AMD Ryzen™ Technologies"
