Name,TDP
AMD Athlon 64 X2 5400+ BE,65
AMD Athlon 64 X2 5600+,89
AMD Athlon 64 X2 5600+,65
AMD Athlon 64 X2 5800+,89
AMD Athlon 64 X2 6000+,89
AMD Athlon 64 X2 6000+,125
AMD Athlon 64 X2 6400+ BE,125
AMD Athlon 650,38
AMD Athlon 700,40
AMD Athlon 750,43
AMD Athlon 800,45
AMD Athlon 850,47
AMD Athlon 900,50
AMD Athlon 950,52
AMD Athlon Gold 3150G,65
AMD Athlon Gold 3150GE,35
AMD Athlon Gold PRO 3150G,65
AMD Athlon Gold PRO 3150GE,35
AMD Athlon II X2 210e,45
AMD Athlon II X2 215,65
AMD Athlon II X2 220,65
AMD Athlon II X2 235e,45
AMD Athlon II X2 240,65
AMD Athlon II X2 240e,45
AMD Athlon II X2 245,65
AMD Athlon II X2 245e,45
AMD Athlon II X2 250,65
AMD Athlon II X2 250e,45
AMD Athlon II X2 250u,25
AMD Athlon II X2 255,65
AMD Athlon II X2 260,65
AMD Athlon II X2 260u,25
AMD Athlon II X2 265,65
AMD Athlon II X2 270,65
AMD Athlon II X2 270u,25
AMD Athlon II X2 280,65
AMD Athlon II X3 400e,45
AMD Athlon II X3 405e,45
AMD Athlon II X3 415e,45
AMD Athlon II X3 420e,45
AMD Athlon II X3 425,95
AMD Athlon II X3 425e,45
AMD Athlon II X3 435,95
AMD Athlon II X3 440,95
AMD Athlon II X3 445,95
AMD Athlon II X3 450,95
AMD Athlon II X3 455,95
AMD Athlon II X3 460,95
AMD Athlon II X4 600e,45
AMD Athlon II X4 605e,45
AMD Athlon II X4 610e,45
AMD Athlon II X4 615e,45
AMD Athlon II X4 620,95
AMD Athlon II X4 620e,45
AMD Athlon II X4 630,95
AMD Athlon II X4 631,100
AMD Athlon II X4 635,95
AMD Athlon II X4 638,65
AMD Athlon II X4 640,95
AMD Athlon II X4 641,100
AMD Athlon II X4 645,95
AMD Athlon II X4 651,100
AMD Athlon II X4 651K,100
AMD Athlon PRO 200GE,35
AMD Athlon PRO 300U,15
AMD Athlon Silver 3050GE,35
AMD Athlon Silver PRO 3125GE,35
AMD Athlon X2 4050e,45
AMD Athlon X2 4450e,45
AMD Athlon X2 4850e,45
AMD Athlon X2 5050e,45
AMD Athlon X2 6500 BE,95
AMD Athlon X2 7450,95
AMD Athlon X2 7550,95
AMD Athlon X2 7750 BE,95
AMD Athlon X2 7850 BE,95
AMD Athlon X2 BE-2300,45
AMD Athlon X2 BE-2350,45
AMD Athlon X2 BE-2400,45
AMD Athlon X2 QL-60,35
AMD Athlon X2 QL-62,25
AMD Athlon X2 QL-64,35
AMD Athlon X2 QL-65,35
AMD Athlon X2 QL-67,35
AMD Athlon X4 940,65
AMD Athlon X4 950,65
AMD Athlon X4 970,65
AMD Athlon XP 1500+,60
AMD Athlon XP 1600+,49
AMD Athlon XP 1600+,63
AMD Athlon XP 1700+,64
AMD Athlon XP 1700+,50
AMD Athlon XP 1700+,50
AMD Athlon XP 1800+,66
AMD Athlon XP 1800+,51
AMD Athlon XP 1800+,51
AMD Athlon XP 1900+,68
AMD Athlon XP 1900+,53
AMD Athlon XP 2000+,70
AMD Athlon XP 2000+,60
AMD Athlon XP 2000+,60
AMD Athlon XP 2000+,60
AMD Athlon XP 2000+,60
AMD Athlon XP 2100+,62
AMD Athlon XP 2100+,72
AMD Athlon XP 2200+,63
AMD Athlon XP 2200+,63
AMD Athlon XP 2200+,68
AMD Athlon XP 2200+,63
AMD Athlon XP 2400+,68
AMD Athlon XP 2400+,68
AMD Athlon XP 2400+,68
AMD Athlon XP 2400+,65
AMD Athlon XP 2500+,68
AMD Athlon XP 2500+ DTR,68
AMD Athlon XP 2600+,68
AMD Athlon XP 2600+,68
AMD Athlon XP 2600+,68
AMD Athlon XP 2600+,68
AMD Athlon XP 2600+,68
AMD Athlon XP 2600+ DTR,68
AMD Athlon XP 2700+,68
AMD Athlon XP 2800+,68
AMD Athlon XP 2800+,74
AMD Athlon XP 2800+ DTR,68
AMD Athlon XP 3000+,68
AMD Athlon XP 3000+,68
AMD Athlon XP 3100+,68
AMD Athlon XP 3200+,77
AMD Athlon XP-M 2000+,45
AMD Athlon XP-M 2200+,45
AMD Athlon XP-M 2200+,45
AMD Athlon XP-M 2400+,45
AMD Athlon XP-M 2500+,45
AMD Athlon XP-M 2600+,45
AMD Athlon XP-M 3000+,45
AMD C-30,9
AMD C-50,9
AMD C-60,9
AMD C-70,9
AMD E-240,18
AMD E-300,18
AMD E-350,18
AMD E-450,18
AMD E1-1200,18
AMD E1-1500,18
AMD E1-2100,9
AMD E1-2150,9
AMD E1-2500,15
AMD E2-1800,18
AMD E2-2000,18
AMD E2-3000,15
AMD E2-3000M,35
AMD E2-3200,65
AMD EPYC 7232P,120
AMD EPYC 7251,120
AMD EPYC 7252,120
AMD EPYC 7261,170
AMD EPYC 7262,155
AMD EPYC 7272,120
AMD EPYC 7281,170
AMD EPYC 7282,120
AMD EPYC 72F3,180
AMD EPYC 7301,170
AMD EPYC 7302,155
AMD EPYC 7302P,155
AMD EPYC 7313,155
AMD EPYC 7313P,155
AMD EPYC 7343,190
AMD EPYC 7351,170
AMD EPYC 7351P,170
AMD EPYC 7352,155
AMD EPYC 7371,170
AMD EPYC 73F3,240
AMD EPYC 7401,170
AMD EPYC 7401P,170
AMD EPYC 7402,180
AMD EPYC 7402P,180
AMD EPYC 7413,180
AMD EPYC 7443,200
AMD EPYC 7443P,200
AMD EPYC 7451,180
AMD EPYC 7452,155
AMD EPYC 7453,225
AMD EPYC 74F3,240
AMD EPYC 7501,170
AMD EPYC 7502,180
AMD EPYC 7502P,180
AMD EPYC 7513,200
AMD EPYC 7542,225
AMD EPYC 7543,225
AMD EPYC 7543P,225
AMD EPYC 7551,180
AMD EPYC 7551P,180
AMD EPYC 7552,200
AMD EPYC 75F3,280
AMD EPYC 7601,180
AMD EPYC 7642,225
AMD EPYC 7643,225
AMD EPYC 7662,225
AMD EPYC 7663,240
AMD EPYC 7702,200
AMD EPYC 7702P,200
AMD EPYC 7713,225
AMD EPYC 7713P,225
AMD EPYC 7742,225
AMD EPYC 7763,280
AMD EPYC 7B12,240
AMD EPYC 7F32,180
AMD EPYC 7F52,155
AMD EPYC 7F72,240
AMD EPYC 7H12,280
AMD EPYC Embedded 3251,50
AMD FX-4100,95
AMD FX-4120,95
AMD FX-4130,125
AMD FX-4150,95
AMD FX-4170,125
AMD FX-4300,95
AMD FX-4320,95
AMD FX-4350,125
AMD FX-6100,95
AMD FX-6120,95
AMD FX-6130,95
AMD FX-6200,125
AMD FX-6300,95
AMD FX-6330,125
AMD FX-6350,125
AMD FX-8100,95
AMD FX-8120,125
AMD FX-8140,95
AMD FX-8150,125
AMD FX-8170,125
AMD FX-8300,95
AMD FX-8320,125
AMD FX-8320E,95
AMD FX-8350,125
AMD FX-8370,125
AMD FX-8370E,95
AMD FX-9370,220
AMD FX-9590,220
AMD Mobile Athlon 64 2700+,35
AMD Mobile Athlon 64 2700+,82
AMD Mobile Athlon 64 2700+,35
AMD Mobile Athlon 64 2800+,82
AMD Mobile Athlon 64 2800+,35
AMD Mobile Athlon 64 2800+,62
AMD Mobile Athlon 64 2800+,82
AMD Mobile Athlon 64 3000+,82
AMD Mobile Athlon 64 3000+,35
AMD Mobile Athlon 64 3000+,62
AMD Mobile Athlon 64 3200+,82
AMD Mobile Athlon 64 3200+,62
AMD Mobile Athlon 64 3400+,82
AMD Mobile Athlon 64 3400+,62
AMD Mobile Athlon 64 3700+,82
AMD Opteron 140,82
AMD Opteron 140,82
AMD Opteron 140,85
AMD Opteron 140 EE,30
AMD Opteron 142,82
AMD Opteron 142,85
AMD Opteron 142,82
AMD Opteron 144,67
AMD Opteron 144,67
AMD Opteron 144,85
AMD Opteron 144,82
AMD Opteron 144,82
AMD Opteron 146,67
AMD Opteron 146,67
AMD Opteron 146,89
AMD Opteron 146,67
AMD Opteron 146 HE,55
AMD Opteron 148,85
AMD Opteron 148,89
AMD Opteron 148,85
AMD Opteron 148,89
AMD Opteron 148 HE,55
AMD Opteron 150,85
AMD Opteron 150,89
AMD Opteron 150,85
AMD Opteron 152,104
AMD Opteron 152,104
AMD Opteron 154,104
AMD Opteron 156,104
AMD Opteron 2350 HE,79
AMD Opteron 240,82
AMD Opteron 240,85
AMD Opteron 240,82
AMD Opteron 240 EE,30
AMD Opteron 242,82
AMD Opteron 242,85
AMD Opteron 242,82
AMD Opteron 242,85
AMD Opteron 244,82
AMD Opteron 244,85
AMD Opteron 244,82
AMD Opteron 244,85
AMD Opteron 246,89
AMD Opteron 246,85
AMD Opteron 246,85
AMD Opteron 246 HE,55
AMD Opteron 246 HE,55
AMD Opteron 248,89
AMD Opteron 248,85
AMD Opteron 248,85
AMD Opteron 248,89
AMD Opteron 248 HE,55
AMD Opteron 250,89
AMD Opteron 250,85
AMD Opteron 250 HE,55
AMD Opteron 252,92
AMD Opteron 254,92
AMD Opteron 3320 EE,25
AMD Opteron 3350 HE,45
AMD Opteron 3380,65
AMD Opteron 4310 EE,35
AMD Opteron 4332 HE,65
AMD Opteron 4334,95
AMD Opteron 4340,95
AMD Opteron 4376 HE,65
AMD Opteron 4386,95
AMD Opteron 43CX EE,35
AMD Opteron 43GK HE,65
AMD Opteron 6168,115
AMD Opteron 6262 HE,85
AMD Opteron 6272,115
AMD Opteron 6274,115
AMD Opteron 6276,115
AMD Opteron 6278,115
AMD Opteron 6282 SE,140
AMD Opteron 6284 SE,140
AMD Opteron 6348,115
AMD Opteron 6366 HE,85
AMD Opteron 6376,115
AMD Opteron 6378,115
AMD Opteron 6380,115
AMD Opteron 6386 SE,140
AMD Opteron 840,85
AMD Opteron 840,82
AMD Opteron 840,82
AMD Opteron 840 EE,30
AMD Opteron 842,85
AMD Opteron 842,85
AMD Opteron 842,82
AMD Opteron 842,82
AMD Opteron 844,82
AMD Opteron 844,82
AMD Opteron 844,85
AMD Opteron 844,85
AMD Opteron 846,89
AMD Opteron 846,85
AMD Opteron 846,85
AMD Opteron 846 HE,55
AMD Opteron 846 HE,55
AMD Opteron 848,89
AMD Opteron 848,89
AMD Opteron 848,85
AMD Opteron 848 HE,55
AMD Opteron 850,85
AMD Opteron 850,89
AMD Opteron 850 HE,55
AMD Opteron 852,92
AMD Opteron 854,92
AMD Opteron 856,92
AMD Opteron A1120,25
AMD Opteron A1150,32
AMD Opteron A1170,32
AMD Opteron X1150,17
AMD Opteron X2 165,110
AMD Opteron X2 170,110
AMD Opteron X2 175,110
AMD Opteron X2 180,110
AMD Opteron X2 185,110
AMD Opteron X2 260 HE,55
AMD Opteron X2 265,95
AMD Opteron X2 265 HE,55
AMD Opteron X2 270,95
AMD Opteron X2 270 HE,55
AMD Opteron X2 275,95
AMD Opteron X2 275 HE,55
AMD Opteron X2 280,95
AMD Opteron X2 285,95
AMD Opteron X2 290,95
AMD Opteron X2 860 HE,55
AMD Opteron X2 865,95
AMD Opteron X2 865 HE,55
AMD Opteron X2 870,95
AMD Opteron X2 870 HE,55
AMD Opteron X2 875,95
AMD Opteron X2 875 HE,55
AMD Opteron X2 880,95
AMD Opteron X2 885,95
AMD Opteron X2 890,95
AMD Opteron X2150,22
AMD Opteron X2170,25
AMD Phenom II 42 TWKR Black Edition,125
AMD Phenom II X2 545,80
AMD Phenom II X2 550,80
AMD Phenom II X2 550 BE,80
AMD Phenom II X2 555 BE,80
AMD Phenom II X2 560 BE,80
AMD Phenom II X2 565 BE,80
AMD Phenom II X2 570 BE,80
AMD Phenom II X2 B53,80
AMD Phenom II X2 B55,80
AMD Phenom II X2 B57,80
AMD Phenom II X3 700e,65
AMD Phenom II X3 705e,65
AMD Phenom II X3 710,95
AMD Phenom II X3 715 BE,95
AMD Phenom II X3 720,95
AMD Phenom II X3 720 BE,95
AMD Phenom II X3 740 BE,95
AMD Phenom II X3 B73,95
AMD Phenom II X3 B75,95
AMD Phenom II X3 B77,95
AMD Phenom II X4 650T,95
AMD Phenom II X4 805,95
AMD Phenom II X4 810,95
AMD Phenom II X4 820,95
AMD Phenom II X4 830,95
AMD Phenom II X4 840,95
AMD Phenom II X4 840T,95
AMD Phenom II X4 850,95
AMD Phenom II X4 900e,65
AMD Phenom II X4 905e,65
AMD Phenom II X4 910,95
AMD Phenom II X4 910e,65
AMD Phenom II X4 920,125
AMD Phenom II X4 925,95
AMD Phenom II X4 940 BE,125
AMD Phenom II X4 945 (125W),125
AMD Phenom II X4 945 (95W),95
AMD Phenom II X4 955 (125W),125
AMD Phenom II X4 955 (95W),95
AMD Phenom II X4 955 BE,125
AMD Phenom II X4 960T BE,95
AMD Phenom II X4 965 BE (125W),125
AMD Phenom II X4 965 BE (140W),140
AMD Phenom II X4 970 BE,125
AMD Phenom II X4 970 BE,125
AMD Phenom II X4 975 BE,125
AMD Phenom II X4 980 BE,125
AMD Phenom II X4 B93,95
AMD Phenom II X4 B95,95
AMD Phenom II X4 B97,95
AMD Phenom II X6 1035T,95
AMD Phenom II X6 1045T,95
AMD Phenom II X6 1055T (125W),125
AMD Phenom II X6 1055T (95W),95
AMD Phenom II X6 1065T,125
AMD Phenom II X6 1075T,125
AMD Phenom II X6 1090T BE,125
AMD Phenom II X6 1100T BE,125
AMD Phenom X3 8250e,65
AMD Phenom X3 8400,95
AMD Phenom X3 8450,95
AMD Phenom X3 8450e,65
AMD Phenom X3 8550,95
AMD Phenom X3 8600,95
AMD Phenom X3 8650,95
AMD Phenom X3 8750,95
AMD Phenom X3 8750 BE,95
AMD Phenom X3 8850,95
AMD Phenom X4 9100e,65
AMD Phenom X4 9150e,65
AMD Phenom X4 9350e,65
AMD Phenom X4 9450e,65
AMD Phenom X4 9500,95
AMD Phenom X4 9550,95
AMD Phenom X4 9600,95
AMD Phenom X4 9600 BE,95
AMD Phenom X4 9600B,95
AMD Phenom X4 9650,95
AMD Phenom X4 9750 (125W),125
AMD Phenom X4 9750 (95W),95
AMD Phenom X4 9750B,95
AMD Phenom X4 9850 (125W),125
AMD Phenom X4 9850 (95W),95
AMD Phenom X4 9850 BE,125
AMD Phenom X4 9850B,95
AMD Phenom X4 9950 BE (125W),125
AMD Phenom X4 9950 BE (140W),140
AMD Ryzen 3 1200,65
AMD Ryzen 3 1300,65
AMD Ryzen 3 1300X,65
AMD Ryzen 3 2200G,65
AMD Ryzen 3 2200U,15
AMD Ryzen 3 2300U,15
AMD Ryzen 3 2300X,65
AMD Ryzen 3 3100,65
AMD Ryzen 3 3200G,65
AMD Ryzen 3 3200U,15
AMD Ryzen 3 3250U,15
AMD Ryzen 3 3300U,15
AMD Ryzen 3 3300X,65
AMD Ryzen 3 4300G,65
AMD Ryzen 3 4300GE,35
AMD Ryzen 3 4300U,25
AMD Ryzen 3 PRO 1200,65
AMD Ryzen 3 PRO 1300,65
AMD Ryzen 3 PRO 2300U,15
AMD Ryzen 3 PRO 3300U,15
AMD Ryzen 3 PRO 4350G,65
AMD Ryzen 3 PRO 4350GE,35
AMD Ryzen 5 1400,65
AMD Ryzen 5 1500X,65
AMD Ryzen 5 1600,65
AMD Ryzen 5 1600X,95
AMD Ryzen 5 2400G,65
AMD Ryzen 5 2500U,15
AMD Ryzen 5 2500X,65
AMD Ryzen 5 2600,65
AMD Ryzen 5 2600E,65
AMD Ryzen 5 2600H,15
AMD Ryzen 5 2600X,95
AMD Ryzen 5 3400G,65
AMD Ryzen 5 3500U,15
AMD Ryzen 5 3500X,65
AMD Ryzen 5 3550H,35
AMD Ryzen 5 3580U,15
AMD Ryzen 5 3600,65
AMD Ryzen 5 3600X,95
AMD Ryzen 5 3600XT,95
AMD Ryzen 5 4500U,25
AMD Ryzen 5 4600G,65
AMD Ryzen 5 4600GE,35
AMD Ryzen 5 4600H,54
AMD Ryzen 5 4600HS,35
AMD Ryzen 5 4600U,25
AMD Ryzen 5 5500U,25
AMD Ryzen 5 5600X,65
AMD Ryzen 5 PRO 1500,65
AMD Ryzen 5 PRO 1600,65
AMD Ryzen 5 PRO 2400G,65
AMD Ryzen 5 PRO 2500U,15
AMD Ryzen 5 PRO 2600,65
AMD Ryzen 5 PRO 3500U,15
AMD Ryzen 5 PRO 4650G,65
AMD Ryzen 5 PRO 4650GE,35
AMD Ryzen 7 1700,65
AMD Ryzen 7 1700X,95
AMD Ryzen 7 1800X,95
AMD Ryzen 7 2700,65
AMD Ryzen 7 2700E,65
AMD Ryzen 7 2700U,15
AMD Ryzen 7 2700X,105
AMD Ryzen 7 2700X 50th Anniversary,105
AMD Ryzen 7 2800H,15
AMD Ryzen 7 3700U,15
AMD Ryzen 7 3700X,65
AMD Ryzen 7 3750H,35
AMD Ryzen 7 3780U,15
AMD Ryzen 7 3800X,105
AMD Ryzen 7 3800XT,105
AMD Ryzen 7 4700G,65
AMD Ryzen 7 4700GE,35
AMD Ryzen 7 4700U,25
AMD Ryzen 7 4800H,54
AMD Ryzen 7 4800HS,35
AMD Ryzen 7 4800U,25
AMD Ryzen 7 5800H,54
AMD Ryzen 7 5800HS,35
AMD Ryzen 7 5800X,105
AMD Ryzen 7 PRO 1700,65
AMD Ryzen 7 PRO 1700X,95
AMD Ryzen 7 PRO 2700,65
AMD Ryzen 7 PRO 2700U,15
AMD Ryzen 7 PRO 2700X,95
AMD Ryzen 7 PRO 3700U,15
AMD Ryzen 7 PRO 4750G,65
AMD Ryzen 7 PRO 4750GE,35
AMD Ryzen 9 3900X,105
AMD Ryzen 9 3900XT,105
AMD Ryzen 9 3950X,105
AMD Ryzen 9 4900H,54
AMD Ryzen 9 4900HS,35
AMD Ryzen 9 5900HX,45
AMD Ryzen 9 5900X,105
AMD Ryzen 9 5950X,105
AMD Ryzen 9 5980HS,35
AMD Ryzen Embedded V1202B,15
AMD Ryzen Embedded V1605B,15
AMD Ryzen Embedded V1756B,45
AMD Ryzen Embedded V1807B,45
AMD Ryzen Threadripper 1900,125
AMD Ryzen Threadripper 1900X,125
AMD Ryzen Threadripper 1920,140
AMD Ryzen Threadripper 1920X,180
AMD Ryzen Threadripper 1940,180
AMD Ryzen Threadripper 1940X,180
AMD Ryzen Threadripper 1950,180
AMD Ryzen Threadripper 1950X,180
AMD Ryzen Threadripper 2920X,180
AMD Ryzen Threadripper 2950X,180
AMD Ryzen Threadripper 2970WX,250
AMD Ryzen Threadripper 2990WX,250
AMD Ryzen Threadripper 3960X,280
AMD Ryzen Threadripper 3970X,280
AMD Ryzen Threadripper 3980X,280
AMD Ryzen Threadripper 3990X,280
AMD Ryzen Threadripper PRO 3945WX,280
AMD Ryzen Threadripper PRO 3955WX,280
AMD Ryzen Threadripper PRO 3975WX,280
AMD Ryzen Threadripper PRO 3995WX,280
AMD Ryzen Threadripper PRO 5945WX,280
AMD Ryzen Threadripper PRO 5955WX,280
AMD Ryzen Threadripper PRO 5965WX,280
AMD Ryzen Threadripper PRO 5975WX,280
AMD Ryzen Threadripper PRO 5995WX,280
AMD Sempron 130,45
AMD Sempron 140,45
AMD Sempron 145,45
AMD Sempron 150,45
AMD Sempron 180,45
AMD Sempron 2200+,62
AMD Sempron 2200+,62
AMD Sempron 2200+,62
AMD Sempron 2300+,62
AMD Sempron 2300+,62
AMD Sempron 2400+,62
AMD Sempron 2400+,62
AMD Sempron 2400+,62
AMD Sempron 2500+,62
AMD Sempron 2500+,62
AMD Sempron 2500+,62
AMD Sempron 2600+,62
AMD Sempron 2600+,25
AMD Sempron 2600+,25
AMD Sempron 2600+,62
AMD Sempron 2600+,62
AMD Sempron 2600+,62
AMD Sempron 2800+,62
AMD Sempron 2800+,25
AMD Sempron 2800+,62
AMD Sempron 2800+,62
AMD Sempron 2800+,25
AMD Sempron 2800+,62
AMD Sempron 2800+,25
AMD Sempron 2800+,62
AMD Sempron 2800+,62
AMD Sempron 3000+,25
AMD Sempron 3000+,62
AMD Sempron 3000+,62
AMD Sempron 3000+,62
AMD Sempron 3000+,25
AMD Sempron 3000+,62
AMD Sempron 3000+,25
AMD Sempron 3000+,62
AMD Sempron 3000+,62
AMD Sempron 3000+,62
AMD Sempron 3000+ EE SFF,35
AMD Sempron 3100+,62
AMD Sempron 3100+,62
AMD Sempron 3100+,62
AMD Sempron 3100+,62
AMD Sempron 3100+,25
AMD Sempron 3100+,25
AMD Sempron 3100+,25
AMD Sempron 3200+,62
AMD Sempron 3200+,62
AMD Sempron 3200+ EE SFF,35
AMD Sempron 3300+,62
AMD Sempron 3300+,25
AMD Sempron 3300+,62
AMD Sempron 3300+,62
AMD Sempron 3300+,62
AMD Sempron 3400+,62
AMD Sempron 3400+,62
AMD Sempron 3400+,25
AMD Sempron 3400+,62
AMD Sempron 3400+,62
AMD Sempron 3400+ EE SFF,35
